Instituto,Articulos,Pais,City
Uni. Havana,6089,Cuba,Havana
Uni. Marta Abreu,1794,Cuba,Las Villas
CIGB,1356,Cuba,Havana
ICA,1536,Cuba,Havana
Uni. Santiago,1020,Cuba,Santiago de Cuba
Uni. Cienfuegos,890,Cuba,Cienfuegos
CIM,493,Cuba,Havana
Uni. HOLGUIN,492,Cuba,Holguin
Uni. MATANZAS,451,Cuba,Matanzas
CENIC,378,Cuba,Havana
NEUROCIENCIAS,440,Cuba,Havana
CNRS,298,Cuba,Havana
Uni. Granma,285,Cuba,Granma
CEA,252,Cuba,Havana
Uni. Pinar del Rio,242,Cuba,Pinar del Rio
Uni. Ciego,238,Cuba,Ciego de Avila
Univ. Med. Havana,387,Cuba,Havana
Uni. Camaguey,220,Cuba,Camaguey
Inst. cibermat,272,Cuba,Havana
CEADEN,160,Cuba,Havana
CUJAE,435,Cuba,Havana
UCI,150,Cuba,Havana
Univ. Med Cienfuegos,150,Cuba,Cienfuegos
CIREN,135,Cuba,Havana
Inst. Neorology,122,Cuba,Havana
ICIMAF,120,Cuba,Havana
Hosp. Almegeiras,291,Cuba,Havana
Inst. Oncology,187,Cuba,Havana
CNIC,91,Cuba,Havana
IPK,1127,Cuba,Havana
Uni. Tunas,88,Cuba,Las Tunas
Inst. Hematology,87,Cuba,Havana
INCA,77,Cuba,Havana
CENATAV,72,Cuba,Havana
FINLAY,233,Cuba,Havana
Univ. Camaguey,59,Cuba,Camaguey
Uni. Guantanamo,58,Cuba,Guantanamo
CENSA,117,Cuba,Havana
Uni. Med. Las Villas,57,Cuba,Las Villas
Univ. Pinar del Rio,159,Cuba,Pinar del Rio
Univ. Med. Havana,103,Cuba,Havana
