year,bucket,feature,value,value_norm,weight_default,source_note
2019,ageing,elderly_share_60plus,0.204,0.19999999999999996,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2019,ageing,median_age_proxy,38.0,0.0,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2019,ageing,fertile_women_share_proxy,0.636,0.21818181818181837,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2019,health_decadence,imr_rise,0.012844036697247763,0.012844036697247763,0.22,ONEI 3.16; Indicadores demográficos / Anuario
2019,health_decadence,cdr_rise,0.0,0.0,0.18,ONEI 3.13 / vital series in claims; Anuario
2019,health_decadence,mmr_rise,0.0,0.0,0.12,literature (maternal mortality reports); not redistributed
2019,health_decadence,e0_gap,1.0,0.125,0.18,ONEI 3.17; Brønnum-Hansen & Albizu-Campos (2023) cite-only
2019,health_decadence,healthcare_collapse_web,0.15,0.15,0.18,public web / press (Task 2 public_health_signals.md); cite-only
2019,health_decadence,epidemic_pressure_web,0.05,0.05,0.12,public epi reports / WHO / press (Task 2); cite-only
2019,bad_reporting,covid_misuse_ratio_norm,,0.0,0.4,official COVID labels vs 2021 all-cause jump / excess bands in claims
2019,bad_reporting,onei_migration_seam_flag,0.1,0.1,0.35,demographics/scripts/onei_audit.py identity; claims migration bridge
2019,bad_reporting,stats_opacity_vs_independents,0.2,0.2,0.25,Albizu reports (cite-only); US CBP and destination lower bounds; onei_audit
2020,ageing,elderly_share_60plus,0.213,0.275,0.45,ONEI 3.12 / 3.3; claims selectivity.pct_age_60_plus_remaining for late years
2020,ageing,median_age_proxy,39.166666666666664,0.11666666666666643,0.25,claims selectivity (median_age_stayers / leavers); ONEI age stocks
2020,ageing,fertile_women_share_proxy,0.63,0.27272727272727304,0.3,ONEI 3.12 / 3.3; selectivity emigrants_age_15_59_pct
2020,health_decadence,imr_rise,-0.017142857142857126,0.0,0.22,ONEI 3.16; Indicadores demográficos / Anuario
